PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40057632,Prevalence of clonal hematopoiesis of indeterminate potential in patients with severe chronic graft-versus-host disease.,2025,Sencer Goklemez,"Immune Deficiency Cellular Therapy Program, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, 20892, USA.University of Cincinnati Medical Center, Department of Internal Medicine, Division of Hematology and Oncology, Cincinnati, OH, 45267, USA.",N/A
40057546,Streptozotocin-induced hyperglycemia unmasks cardiotoxicity induced by doxorubicin.,2025,N/A,N/A,N/A
40057490,Self-supervised learning reveals clinically relevant histomorphological patterns for therapeutic strategies in colon cancer.,2025,N/A,N/A,N/A
40057483,Uncovering the rewired IAP-JAK regulatory axis as an immune-dependent vulnerability of LKB1-mutant lung cancer.,2025,"Changfa Shu, Jianfeng Li, Dacheng Fan, Qiankun Niu, Ruiyang Bai, Danielle Cicka, Sean Doyle, Alafate Wahafu, Xi Zheng, Yuhong Du, Andrey A Ivanov, Xiulei Mo, Haian Fu","Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA.Department of Obstetrics and Gynecology, The Third Xiangya Hospital, Central South University, Changsha, Hunan, P R China., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA.Department of Dermatology, Xiangya Hospital, Central South University, Changsha, China., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA.The First Affiliated Hospital, Medical School of Xi'an Jiaotong University, Xi'an, Shannxi, P R China., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA.Cancer Institute, the Second Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, P R China., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA.Emory Chemical Biology Discovery Center, Emory University School of Medicine, Atlanta, GA, USA.Winship Cancer Institute of Emory University, Atlanta, GA, USA., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA.Emory Chemical Biology Discovery Center, Emory University School of Medicine, Atlanta, GA, USA.Winship Cancer Institute of Emory University, Atlanta, GA, USA., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA. xmo@emory.edu.Winship Cancer Institute of Emory University, Atlanta, GA, USA. xmo@emory.edu., Department of Pharmacology and Chemical Biology, Emory University School of Medicine, Atlanta, GA, USA. hfu@emory.edu.Department of Hematology and Medical Oncology, Emory University, Atlanta, GA, USA. hfu@emory.edu.Emory Chemical Biology Discovery Center, Emory University School of Medicine, Atlanta, GA, USA. hfu@emory.edu.Winship Cancer Institute of Emory University, Atlanta, GA, USA. hfu@emory.edu.",N/A
40057475,Individualized therapy guided by single-cell sequencing in anti-GABA,2025,N/A,N/A,N/A
40057460,The Impact of the COVID-19 Pandemic on the Diagnosis and Treatment of Breast Cancer at a Community Hospital.,2025,N/A,N/A,N/A
40057385,Neuroendocrine tumors of the gynecological tract: A narrative literature review.,2025,Harasani Klejda,"Department of Pharmacy, Faculty of Medicine, University of Medicine of Tirana, Tirana, Albania.",N/A
40057352,Understanding adherence to guideline-recommended therapy in patients with peripheral artery disease: A qualitative study.,2025,N/A,N/A,N/A
40057343,"Ivonescimab versus pembrolizumab for PD-L1-positive non-small cell lung cancer (HARMONi-2): a randomised, double-blind, phase 3 study in China.",2025,"Xiaodong Mei, Jie Yang, Dongmei Lu, Mingxiu Hu, Zhongmin Maxwell Wang, Baiyong Li, Michelle Xia","The First Affiliated Hospital of USTC (Anhui Provincial Hospital), Hefei, China., Akeso Biopharma, Zhongshan, China., Akeso Biopharma, Zhongshan, China., Akeso Biopharma, Zhongshan, China., Akeso Biopharma, Zhongshan, China., Akeso Biopharma, Zhongshan, China., Akeso Biopharma, Zhongshan, China.",N/A
40057285,"The Importance of Multi-parametric MRI, PET/CT, and Biopsy for Identifying and Delineating the Extent of Intraprostatic Radiorecurrent Prostate Cancer: A Secondary Analysis of the F-SHARP Clinical Trial.",2025,N/A,N/A,N/A
40057199,Adapting radiation therapy to immunotherapy: Delineation and treatment planning of pre-operative immune-modulating breast iSBRT in 151 patients treated in the randomized phase II Neo-CheckRay trial.,2025,N/A,N/A,N/A
40057122,Survival outcomes and temporal trends of non-surgical management versus radical cystectomy in non-organ-confined urothelial bladder cancer.,2025,N/A,N/A,N/A
40057038,Molecular characterization of TFE3-rearranged renal cell carcinoma in children and adolescents.,2025,Nanshan Yang,"GloriousMed Clinical Laboratory (Shanghai) Co., Ltd., Shanghai, China.",N/A
40057030,Elastase Reduces Background Autofluorescence in ALK Fluorescence In Situ Hybridization Assays for Lung Cancers.,2025,Sheng-Chi Hsu,"Department of Laboratory Medicaine, Chang Gung Memorial Hospital, Kwei-Shan, Tao-Yuan, Taiwan; Department of Medical Biotechnology and Laboratory Science, College of Medicine, Chang Gung University, Taoyuan, Taiwan.",N/A
40057000,Evaluation of several farnesyloxycarbostyril derivatives as potential 15-LOX-1 inhibitors for prostate cancer treatment.,2025,"Ahmad Reza Bahrami, Maryam M Matin","Department of Biology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Industrial Biotechnology Research Group, Institute of Biotechnology, Ferdowsi University of Mashhad, Mashhad, Iran., Department of Biology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Novel Diagnostics and Therapeutics Research Group, Institute of Biotechnology, Ferdowsi University of Mashhad, Mashhad, Iran. Electronic address: matin@um.ac.ir.",N/A
40056928,"Epidemiology, clinical features, and outcomes of peripheral T-cell lymphoma in Latin America: an international, retrospective, cohort study.",2025,N/A,N/A,N/A
40056906,Neoadjuvant fuzuloparib combined with abiraterone for localized high-risk prostate cancer (FAST-PC): A single-arm phase 2 study.,2025,Jianfei Wang,"Jiangsu Hengrui Pharmaceuticals Co., Ltd, Shanghai, China.",N/A
40056904,LTA4H improves the tumor microenvironment and prevents HCC progression via targeting the HNRNPA1/LTBP1/TGF-β axis.,2025,N/A,N/A,N/A
40056854,Global Research on the Treatment of Cancer Patients During the COVID-19 Pandemic: Visualisation and Bibliometric Analysis.,2025,"T Chen, Y Wang, R Xie, L Dong, J Chen, L Yang","Department of Pharmacy, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, Fujian, China., College of Pharmacy, Fujian University of Traditional Chinese Medicine, Fuzhou, Fujian, China., Department of Pharmacy, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, Fujian, China., Department of Pharmacy, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, Fujian, China., Department of Pharmacy, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, Fujian, China., Department of Pharmacy, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, Fujian, China. Electronic address: linyang@fjzlhospital.com.",N/A
40056849,Chemotherapy before or after preoperative chemoradiotherapy and surgery for locally advanced rectal cancer: 5-year results of the CAO/ARO/AIO-12 trial - a general pairwise comparison.,2025,N/A,N/A,N/A
40056843,Systematic multi-omics investigation of androgen receptor driven gene expression and epigenetics changes in prostate cancer.,2025,N/A,N/A,N/A
40056832,"A randomized phase II/III study of paclitaxel/carboplatin/metformin versus paclitaxel/carboplatin/placebo as initial therapy for measurable stage III or IVA, stage IVB, or recurrent endometrial cancer: An NRG oncology/GOG study.",2025,N/A,N/A,N/A
40056831,"Evaluation of efficacy and fertility after nonradical surgical therapy (extra fascial hysterectomy or cone biopsy, with pelvic lymphadenectomy) for stage IA1, IA2, and IB1 cervical cancer (GOG-0278).",2025,N/A,N/A,N/A
40056827,CDCA8 and its multifaceted role in tumorigenesis.,2025,N/A,N/A,N/A
40056788,Updates and controversies in the management of uterine serous carcinoma and uterine carcinosarcoma.,2025,N/A,N/A,N/A
40056742,The current landscape of aromatase inhibitors for the treatment of estrogen receptor-positive breast carcinoma.,2025,"Khushboo Bhutani, Suyashi Vishwakarma, Priyanka Yadav, Manoj Kumar Yadav","Department of Biotechnology, SRM University, Delhi-NCR, Sonepat, Haryana 131029, India., Department of Biotechnology, Jaypee Institute of Information Technology, Noida, Uttar Pradesh 201309, India., Department of Biotechnology, SRM University, Delhi-NCR, Sonepat, Haryana 131029, India., Department of Biotechnology, SRM University, Delhi-NCR, Sonepat, Haryana 131029, India; Department of Biomedical Engineering, SRM University, Sonepat, Haryana 131029, India. Electronic address: manojiids@gmail.com.",N/A
40056676,Tumor microenvironment-activated and near-infrared light-driven free radicals amplifier for tetra-modal cancer imaging and synergistic treatment.,2025,N/A,N/A,N/A
40056609,Reprogrammed glycolysis-induced augmentation of NIR-II excited photodynamic/photothermal therapy.,2025,N/A,N/A,N/A
40056561,Are evidence-based guidelines translating into clinical practice? A national population-based study of the use of treatment intensification in metastatic hormone-sensitive prostate cancer (mHSPC) in England.,2025,N/A,N/A,N/A
40056560,pTERT mutational status is associated with survival in stage IV melanoma patients receiving first-line immune therapy.,2025,N/A,N/A,N/A
40056555,Treatment of primary tumor in metastatic head and neck Carcinoma: A systematic review and Meta-Analysis.,2025,N/A,N/A,N/A
40056532,Metastasis directed therapy in recurrent renal cell carcinoma - Retrospective analysis of a ten-year experience.,2025,N/A,N/A,N/A
40056493,Targeting dePARylation in cancer therapy.,2025,N/A,N/A,N/A
40056454,"Adult Growth Hormone Deficiency, Replacement Therapy, and Outcomes in Long-Term Childhood Cancer Survivors.",2025,N/A,N/A,N/A
40056448,"Enhanced In Vitro and In Vivo Autophagy Suppression via LC3 siRNA-Loaded ""Smart"" Nanoparticles and Doxorubicin Combination Therapy in Triple Negative Breast Cancer.",2025,N/A,N/A,N/A
40056382,Autologous adipose-derived tissue stromal vascular fraction and intralesional epidermal growth factor combined application in patients with diabetic foot.,2025,N/A,N/A,N/A
40056315,Independent prognostic significance of tissue and circulating microrna biomarkers in hepatocellular carcinoma.,2025,N/A,N/A,N/A
40056288,Young-onset metastatic colorectal cancer: an opportunity and a vision for progress in cancer.,2025,N/A,N/A,N/A
40056282,Real world experience with MET inhibitors in MET exon 14 skipping mutated non-small cell lung cancer: largest Indian perspective.,2025,N/A,N/A,N/A
40056281,Angiosarcoma: Role of Immunotherapy.,2025,N/A,N/A,N/A
